overall,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_reflexes
73,60,44,74,74,41,59.0,51,40,69,69,52,55,59,74,36,62,73,67,76,44,67,73,42,55,54,78,75,75,10,15,17,11
73,56,32,73,70,42,51.0,45,44,69,62,29,36,54,66,45,45,81,43,86,32,85,67,50,55,46,72,72,70,12,9,14,14
73,75,66,62,77,67,72.0,76,79,76,76,55,49,68,70,73,73,60,72,63,71,69,75,66,73,71,81,67,62,10,14,15,7
73,72,77,73,77,74,72.0,73,75,72,77,36,44,62,77,60,79,56,65,79,78,62,45,78,78,71,77,37,39,9,8,14,6
73,61,29,70,66,38,61.0,45,47,58,64,64,66,66,70,70,62,90,74,74,50,75,75,49,56,30,58,75,68,10,14,6,8
73,75,71,55,73,75,74.0,76,73,70,76,67,66,75,69,77,77,69,58,54,83,72,71,73,74,72,72,72,71,15,10,12,13
73,45,22,74,50,22,56.0,38,24,58,55,48,53,56,64,56,60,78,43,81,28,78,76,35,38,38,66,74,73,3,5,3,3
73,63,60,81,72,42,64.0,59,39,73,70,44,38,37,61,40,81,50,79,92,67,74,73,65,70,50,71,74,70,12,12,11,16
73,68,69,59,74,61,73.0,72,59,73,74,54,55,72,73,76,70,69,79,70,68,73,67,71,72,57,77,69,66,13,13,9,16
73,77,69,47,74,69,73.0,80,84,66,74,75,75,77,73,75,73,41,47,56,74,31,26,73,69,69,70,36,26,13,15,8,16
73,71,62,62,78,61,69.0,76,76,82,76,51,40,64,65,60,80,69,68,73,73,74,62,65,78,74,72,68,61,14,9,7,10
73,63,72,72,76,71,76.0,68,65,68,77,64,66,69,75,76,72,73,69,72,68,57,25,73,76,78,76,27,19,15,7,10,9
73,68,69,60,74,59,71.0,58,67,71,71,71,64,71,75,75,72,69,76,71,72,71,71,70,76,64,72,72,71,11,12,16,14
73,15,20,72,50,20,51.0,23,39,54,50,53,55,53,67,54,61,81,55,89,37,74,76,19,34,46,76,75,73,6,5,5,7
73,68,61,65,75,66,67.0,65,61,73,71,50,49,64,72,63,67,82,67,70,63,78,74,66,69,44,75,74,67,11,15,8,10
73,59,53,68,74,48,69.0,58,48,71,70,58,51,68,68,75,71,82,76,68,64,75,71,67,65,50,74,76,72,8,11,15,15
73,65,40,76,73,38,65.0,64,66,74,68,40,65,55,73,58,72,69,63,77,66,72,73,57,65,56,68,75,72,14,8,9,10
73,74,66,54,75,73,73.0,74,72,72,75,64,67,75,70,74,70,71,65,66,70,67,42,74,79,61,66,37,35,7,8,7,7
73,63,53,61,73,58,68.0,60,62,70,70,42,32,74,64,75,63,84,83,69,66,79,71,59,69,57,70,73,69,6,15,11,10
73,73,56,42,75,72,76.0,76,71,79,76,68,53,91,72,92,73,64,83,32,70,79,60,62,77,71,71,56,55,6,9,10,12
73,60,55,83,73,43,65.0,40,47,71,68,61,65,68,72,52,64,79,78,87,62,84,71,70,67,52,70,69,67,16,11,14,15
73,66,64,55,74,62,74.0,71,55,72,74,68,66,76,70,71,84,69,76,77,76,81,71,70,74,63,69,71,68,8,16,13,13
73,65,74,69,68,69,73.0,63,66,63,72,76,74,73,71,70,75,65,82,69,76,59,36,74,68,68,68,36,26,11,14,13,6
73,69,75,75,66,68,72.0,61,62,64,72,66,75,72,70,61,76,79,50,70,63,75,32,74,70,68,75,38,33,9,10,6,16
73,72,69,39,74,55,76.0,73,71,73,74,70,74,85,64,91,68,34,67,56,70,74,43,70,73,67,69,48,42,16,9,15,14
73,70,64,68,72,67,72.0,74,61,71,74,74,72,67,74,67,74,75,80,80,64,82,71,71,75,62,75,69,66,9,13,9,9
73,30,22,80,53,20,48.0,20,27,50,54,44,45,49,74,33,52,80,64,85,18,80,73,28,31,47,53,73,73,16,6,16,16
73,63,73,79,66,65,67.0,59,36,44,69,71,77,69,70,60,75,89,80,81,61,78,57,76,66,75,66,58,55,11,5,12,12
73,73,70,52,73,61,72.0,57,54,64,73,80,79,81,63,71,68,67,75,51,64,66,35,71,72,66,66,20,24,13,7,10,16
73,73,62,70,75,66,74.0,76,71,74,78,68,73,63,68,54,78,70,69,77,73,56,61,74,75,68,72,61,57,5,14,6,9
73,72,57,69,73,53,73.0,64,60,67,79,69,66,73,71,65,79,74,74,70,80,68,69,67,63,59,68,73,73,13,9,13,14
73,78,67,54,67,58,73.0,78,48,65,73,79,78,74,70,68,79,54,67,78,72,54,32,70,73,61,68,45,34,14,16,16,10
73,66,58,61,68,46,68.0,51,32,67,68,61,58,66,70,52,74,69,84,90,68,82,74,64,68,54,71,71,71,11,7,13,10
73,71,65,61,72,65,73.0,69,69,70,72,76,75,76,74,67,63,64,77,71,64,71,64,74,65,67,76,68,67,13,13,16,7
73,65,56,66,72,60,69.0,68,58,70,73,61,52,65,73,69,72,69,77,76,68,79,70,58,63,57,78,71,65,9,15,8,9
73,64,71,72,70,74,72.0,65,47,59,74,64,74,66,70,67,78,66,69,78,71,75,36,77,65,80,72,40,29,8,7,7,10
73,71,38,61,75,54,74.0,54,60,73,76,65,55,72,75,74,75,73,90,68,76,82,71,70,73,72,75,58,51,7,16,14,16
73,74,72,43,74,51,74.0,77,79,67,75,71,75,74,67,64,73,44,63,58,71,36,60,72,72,68,67,27,29,13,8,6,6
73,73,26,70,74,30,60.0,59,34,71,65,68,67,65,70,50,47,82,72,81,43,74,73,62,62,49,65,73,73,14,6,10,7
73,62,69,54,79,64,70.0,78,77,72,73,63,65,70,71,73,77,57,83,70,74,62,69,68,75,69,74,69,65,7,15,6,15
73,36,26,76,56,35,50.0,47,43,56,57,38,45,58,66,58,50,82,74,92,57,76,70,34,42,46,67,74,72,14,15,12,10
73,63,35,66,71,37,66.0,43,40,69,67,61,68,66,77,68,48,83,66,72,44,70,79,52,57,51,79,74,74,11,6,7,13
73,29,27,77,63,17,53.0,35,26,63,59,34,37,32,70,50,57,75,62,86,20,85,71,24,23,39,75,71,71,10,14,5,10
73,67,69,70,74,67,69.0,49,53,73,73,62,67,60,72,51,76,81,84,73,71,75,70,65,66,60,71,71,67,16,15,13,14
73,70,70,55,67,72,79.0,75,56,70,74,85,81,91,69,84,73,67,61,64,71,74,24,73,70,59,75,23,21,7,9,16,12
73,70,58,68,64,51,66.0,48,52,60,69,70,75,62,67,54,60,75,73,72,54,72,75,65,58,52,62,72,70,12,14,12,8
73,47,36,72,62,54,57.0,45,30,60,60,63,68,55,73,65,50,81,63,75,34,68,74,45,42,44,70,75,74,10,10,6,15
73,67,60,58,79,65,76.0,75,72,75,76,62,67,71,66,76,82,55,65,65,73,79,74,66,69,74,75,74,67,6,11,10,6
73,60,61,66,72,58,67.0,56,54,71,72,48,55,53,70,59,80,65,48,78,71,85,74,62,68,62,75,73,72,12,16,10,12
73,59,46,68,72,37,65.0,66,51,67,68,77,69,70,70,73,60,86,80,80,57,78,71,39,58,45,65,78,74,9,6,6,11
73,48,36,76,58,11,58.0,36,16,52,60,66,66,65,71,60,43,85,70,78,23,83,74,39,38,28,58,74,69,15,9,6,6
73,72,52,65,73,43,71.0,67,66,64,72,67,68,71,72,69,72,64,75,69,68,69,68,65,68,55,72,73,71,8,9,15,6
73,65,45,58,77,60,75.0,55,52,71,74,69,61,75,74,81,77,91,77,69,72,82,76,66,70,46,74,78,74,12,12,11,12
73,70,40,71,71,45,68.0,68,35,67,70,76,73,63,72,55,74,74,73,72,60,82,71,68,60,40,69,71,71,15,7,5,8
73,67,60,71,80,65,72.0,55,54,71,73,61,64,72,78,70,74,85,85,66,65,76,76,71,69,64,76,61,54,9,14,6,6
73,72,57,54,71,43,71.0,78,75,73,72,73,71,70,71,74,72,70,65,56,69,70,74,71,66,52,63,73,72,6,8,7,15
73,74,63,57,78,70,73.0,82,66,80,77,61,64,81,67,68,72,61,60,66,62,70,69,68,76,66,81,73,57,13,16,11,11
73,36,34,74,63,56,63.0,38,33,52,66,52,52,64,72,57,50,82,64,75,41,66,73,42,50,54,68,77,74,12,16,8,13
73,49,31,76,72,59,65.0,54,44,68,69,54,55,48,67,49,69,70,79,88,67,81,72,58,70,54,67,72,70,7,8,5,6
73,53,58,74,70,51,59.0,55,47,69,63,52,61,63,68,67,66,81,68,78,52,87,75,49,55,54,62,72,72,11,9,15,6
73,69,60,50,71,51,75.0,72,61,62,74,85,82,85,65,90,74,76,78,43,61,59,57,73,68,67,70,59,57,16,15,7,7
73,31,74,75,64,74,66.0,49,58,37,70,54,73,54,74,53,82,64,52,87,66,77,29,75,58,76,71,45,19,13,6,15,15
73,65,58,68,74,64,74.0,69,70,72,76,60,65,70,70,75,72,71,79,77,71,71,73,58,69,68,68,70,67,9,13,6,12
73,57,76,77,74,71,72.0,60,59,59,79,30,33,49,76,50,76,51,56,81,71,47,28,79,78,72,78,46,13,11,13,11,16
73,46,74,80,69,72,61.0,56,45,60,67,51,73,41,76,43,78,71,67,91,65,78,29,76,70,80,78,32,24,7,11,7,13
73,61,73,70,72,66,73.0,66,58,60,72,74,76,76,73,64,72,77,75,80,70,60,37,75,66,72,70,35,22,15,10,9,9
73,41,32,74,67,33,58.0,44,32,64,63,51,47,55,72,62,48,81,60,77,26,76,75,29,45,42,68,73,73,14,12,7,12
73,71,60,43,70,52,71.0,50,47,69,70,72,71,79,67,75,60,66,86,64,68,61,70,69,62,43,68,73,70,6,11,7,8
73,45,28,73,67,17,54.0,59,25,65,66,59,66,65,66,55,42,76,77,88,23,62,69,25,48,50,75,74,70,14,15,7,15
73,46,22,76,51,18,53.0,49,35,59,52,46,52,50,71,49,54,83,72,86,23,78,77,23,53,25,58,73,71,8,10,12,16
73,46,74,74,68,70,68.0,60,36,45,73,73,76,72,64,64,81,79,72,91,57,67,31,71,52,73,74,32,30,13,15,15,14
73,72,71,58,75,76,75.0,75,76,70,78,65,53,70,69,73,85,73,59,74,80,65,49,72,71,65,74,59,49,12,11,10,6
73,61,74,65,64,68,71.0,57,44,54,70,79,85,77,73,74,78,72,71,73,62,70,33,75,67,74,72,23,20,11,16,11,14
73,66,46,61,72,45,69.0,64,36,63,69,71,70,82,70,88,51,78,75,58,53,67,74,67,59,44,66,75,73,12,13,8,15
73,39,45,74,58,44,50.0,41,33,55,54,45,75,34,71,34,71,56,77,83,60,88,72,52,54,37,65,74,76,17,16,15,17
73,69,67,53,76,59,72.0,67,54,74,73,75,73,73,70,72,67,71,65,70,74,52,66,72,74,62,69,68,59,9,13,13,16
73,52,72,79,69,74,65.0,68,46,54,75,38,51,61,74,33,84,58,65,90,71,61,23,76,65,72,70,32,24,6,9,10,13
73,40,38,78,63,34,57.0,43,66,65,56,52,65,50,67,33,84,58,53,90,65,80,70,46,58,39,70,73,72,11,16,16,13
73,62,74,69,76,63,71.0,65,74,72,73,64,72,57,69,71,78,74,68,78,77,70,67,70,74,69,72,73,69,7,8,6,16
73,37,76,68,70,78,72.0,56,51,67,74,55,55,64,78,65,76,69,42,75,75,63,20,78,69,85,83,32,34,6,15,16,11
73,66,76,72,70,73,67.0,74,70,42,72,73,69,64,74,65,74,71,72,73,70,55,29,75,53,70,65,35,22,6,12,7,16
73,58,67,62,74,54,73.0,61,46,73,76,69,76,63,73,67,78,65,85,83,67,79,71,69,69,62,69,76,72,9,11,8,8
73,22,32,75,70,23,56.0,27,55,74,59,61,54,51,61,46,72,85,71,84,66,78,73,38,51,27,54,76,74,12,13,9,10
73,45,41,66,74,40,67.0,55,43,72,70,55,54,64,71,64,65,71,76,75,50,73,74,59,67,50,74,72,71,8,13,11,15
73,44,75,79,70,81,68.0,76,56,55,74,43,58,48,68,33,76,65,65,92,72,71,27,76,68,78,66,39,29,15,6,12,16
73,75,71,48,77,64,73.0,63,70,76,72,65,68,74,70,79,76,68,53,63,65,55,53,75,73,62,64,49,40,10,6,13,12
73,61,73,69,70,72,75.0,74,64,57,75,76,73,77,71,69,80,73,65,63,71,65,35,75,64,72,75,33,21,6,8,11,10
73,72,51,35,69,64,69.0,62,42,64,69,67,79,71,74,67,52,58,92,72,50,77,70,69,65,35,72,71,68,9,15,11,16
73,68,28,65,69,49,65.0,58,49,66,70,81,75,76,68,65,50,77,77,71,53,65,70,59,58,38,61,72,74,14,13,8,8
73,39,74,90,65,68,67.0,67,36,35,73,43,58,50,70,51,78,79,57,79,68,40,19,78,42,72,71,13,12,14,11,10,7
73,53,39,68,77,38,69.0,51,49,74,75,51,50,72,75,70,49,83,84,76,57,72,70,52,66,69,69,68,64,6,16,16,11
73,67,73,75,72,76,71.0,68,77,53,73,54,57,62,73,59,82,68,50,81,72,74,32,73,66,80,75,30,26,12,13,14,11
73,72,72,66,69,83,74.0,79,71,66,73,76,77,73,69,68,81,68,70,69,76,59,24,74,72,69,77,33,23,13,12,11,11
73,67,50,60,68,56,69.0,60,50,62,70,83,85,73,68,72,64,69,84,68,60,71,67,60,60,50,69,69,68,9,8,16,15
73,61,55,59,75,53,67.0,78,81,74,72,40,41,46,66,58,82,81,71,75,78,81,67,59,73,69,71,73,68,8,8,6,13
73,64,73,74,74,69,71.0,69,62,65,73,67,64,64,73,51,76,73,70,80,74,65,31,75,73,68,76,36,24,6,8,14,7
73,74,68,43,73,64,75.0,76,75,72,75,78,86,85,67,82,76,72,71,53,73,39,37,64,73,60,61,24,20,11,14,7,14
73,73,63,45,77,63,74.0,72,60,74,75,65,62,75,73,77,74,64,75,58,67,63,65,66,72,63,74,71,69,5,12,7,9
73,62,65,54,76,64,69.0,68,78,77,70,71,73,76,69,74,72,67,85,67,75,70,63,69,78,63,68,59,49,8,11,11,6
73,60,20,73,58,17,59.0,44,36,56,55,68,73,65,73,58,62,83,65,73,35,80,74,35,34,37,73,77,75,12,11,7,14
73,70,50,55,69,33,71.0,54,37,58,70,78,76,78,69,73,46,82,81,67,44,74,67,58,60,45,64,71,70,13,13,6,15
73,59,73,68,67,75,69.0,62,65,45,72,70,71,69,70,74,87,75,52,71,70,78,20,75,58,74,70,27,15,10,14,15,11
73,40,25,74,54,33,59.0,38,17,54,58,57,55,67,71,76,52,76,49,68,25,85,74,23,30,35,70,77,77,13,11,13,6
73,70,72,66,73,71,74.0,74,74,69,73,73,74,79,73,74,75,71,74,64,71,70,48,73,72,74,73,25,39,8,10,14,9
73,71,23,63,64,35,69.0,71,39,66,70,74,75,73,70,68,60,91,78,71,26,72,69,59,56,41,65,72,71,15,10,9,11
73,56,78,73,62,68,71.0,57,59,55,73,61,50,69,70,63,77,80,61,79,69,67,52,78,62,69,71,40,39,13,16,8,13
73,75,62,49,73,69,74.0,79,73,70,74,75,74,75,73,79,72,77,68,44,70,68,68,72,72,67,76,68,65,15,13,12,9
73,51,75,72,63,65,69.0,61,55,43,71,69,73,71,73,68,76,80,65,80,64,67,32,76,61,76,74,16,19,11,12,12,15
73,56,68,59,76,56,72.0,66,70,74,75,69,62,74,71,61,78,77,81,71,69,70,66,68,73,71,70,67,62,8,14,15,9
73,77,66,52,71,66,74.0,76,74,74,75,69,64,74,74,76,76,74,68,60,71,60,66,71,76,72,73,68,71,12,8,13,7
73,64,58,59,74,55,70.0,76,71,72,73,44,33,62,75,60,81,40,73,70,72,87,76,75,74,69,69,73,62,10,14,9,9
73,42,73,80,69,68,65.0,45,56,51,70,61,67,49,68,62,79,74,64,92,68,72,28,75,59,65,70,26,13,15,9,8,9
73,68,42,62,67,37,70.0,52,58,57,71,75,79,70,69,73,79,81,82,77,45,74,67,56,53,55,70,71,70,10,13,14,16
73,69,71,69,76,67,72.0,75,60,73,75,76,74,72,67,73,70,65,70,66,69,60,44,75,73,71,66,36,35,11,13,13,13
73,68,77,67,68,72,73.0,69,55,53,76,75,69,75,72,69,73,64,76,62,69,57,24,76,67,66,71,39,25,9,16,10,13
73,78,70,80,75,66,70.0,70,43,74,74,64,64,53,72,52,78,90,66,82,70,80,68,73,67,51,72,74,73,12,7,8,12
73,58,49,77,75,53,75.0,59,51,71,81,69,63,71,62,67,69,85,86,72,57,79,66,57,69,57,75,71,69,14,7,15,10
73,69,74,73,73,74,73.0,69,69,64,74,66,69,88,76,70,74,84,76,62,72,61,44,75,72,75,69,24,18,14,7,11,14
73,68,68,50,74,65,75.0,75,70,68,76,76,74,79,74,73,69,59,71,61,70,24,48,74,74,65,74,26,21,14,8,8,6
73,54,42,69,70,51,64.0,39,29,70,69,68,72,68,69,68,67,72,66,83,56,76,72,52,65,49,70,74,74,10,12,6,7
73,54,54,62,73,46,68.0,53,48,69,72,69,71,74,67,65,63,78,80,73,60,74,74,55,68,45,69,76,72,12,8,6,10
73,74,68,43,77,47,75.0,74,65,73,75,70,65,77,66,87,65,66,60,39,67,48,57,71,76,72,66,59,58,9,13,12,13
73,59,74,78,74,67,72.0,69,56,70,75,62,68,68,74,70,78,88,80,67,75,54,61,76,72,64,74,62,48,15,15,8,7
73,83,79,59,76,72,72.0,87,82,80,78,42,54,57,68,42,85,50,73,77,74,67,60,72,81,82,82,62,52,13,12,8,15
73,74,67,45,77,63,77.0,68,63,80,77,66,40,77,74,77,69,58,80,60,70,50,49,68,80,50,72,38,39,15,12,13,12
73,71,68,40,68,47,75.0,72,69,60,74,92,90,85,60,85,60,80,82,33,65,55,17,65,68,65,71,22,25,14,8,12,8
73,44,57,66,75,39,66.0,58,62,71,67,37,34,62,66,63,67,72,88,83,63,81,70,56,65,84,64,71,69,7,8,13,14
73,64,59,45,74,42,68.0,59,66,72,68,69,64,69,70,70,68,57,74,68,58,59,77,69,75,53,72,74,67,16,12,14,15
73,53,56,51,78,61,72.0,58,45,75,72,68,70,83,66,83,62,47,78,65,64,80,63,63,75,47,72,74,72,12,6,13,12
73,37,24,70,68,28,54.0,27,27,70,61,65,70,56,70,68,35,86,56,69,22,72,72,20,43,35,66,78,74,6,16,6,8
73,22,35,75,50,37,44.0,31,18,45,58,49,52,53,68,55,40,78,50,80,25,68,75,22,17,34,69,77,75,12,10,10,10
73,59,75,68,64,70,73.0,54,71,53,73,76,75,77,74,80,76,73,65,62,71,46,35,77,48,73,73,24,14,10,7,16,8
73,72,63,46,71,60,74.0,68,60,65,71,84,84,86,70,86,65,74,63,53,57,52,29,72,67,72,67,29,28,10,11,16,12
73,46,56,73,68,70,62.0,46,25,70,65,53,59,56,72,66,75,69,56,68,69,75,76,36,46,51,67,75,73,7,11,10,13
73,80,59,65,70,53,73.0,78,63,71,75,72,72,65,70,74,78,71,63,78,73,70,68,67,73,46,69,71,69,9,14,16,10
73,72,68,64,72,61,70.0,63,64,64,71,79,77,78,73,73,79,85,92,63,73,83,65,65,67,69,60,68,65,16,12,9,14
73,69,60,67,78,58,71.0,63,61,75,76,50,55,55,73,59,71,57,74,77,63,70,62,69,74,80,67,73,65,8,6,15,7
73,73,34,63,65,30,63.0,59,31,58,70,78,73,69,71,56,57,69,79,71,39,71,67,35,45,48,54,71,70,14,11,7,14
73,68,72,56,80,35,70.0,41,43,76,70,66,67,67,75,76,80,59,73,72,81,92,78,62,80,51,75,73,65,10,13,8,10
73,63,78,65,68,73,75.0,72,69,60,70,91,86,91,71,91,75,84,75,57,73,70,56,76,68,60,73,40,37,16,14,15,9
73,69,76,63,66,62,74.0,57,55,52,74,77,80,79,74,68,74,47,65,66,69,46,25,74,73,61,68,21,21,14,7,10,15
73,67,68,68,73,69,73.0,75,72,72,76,64,66,67,69,59,75,63,64,71,73,73,62,72,77,70,76,56,51,10,11,14,14
73,75,58,63,75,76,69.0,81,78,78,73,63,53,53,68,62,78,68,73,69,78,76,68,66,79,68,74,61,56,12,13,13,7
73,73,63,66,75,59,79.0,69,52,67,79,76,61,83,73,80,58,70,73,63,61,69,71,72,75,58,77,68,71,13,15,10,9
73,63,67,43,71,69,77.0,73,63,67,73,89,87,91,67,91,69,68,76,53,67,27,50,64,67,69,75,28,23,9,11,10,10
73,77,54,62,71,57,73.0,63,46,66,70,88,83,73,71,78,75,83,72,84,65,74,68,67,62,53,76,72,70,8,7,14,9
73,71,47,59,69,54,67.0,73,67,68,65,70,74,72,69,72,75,73,89,69,65,72,71,57,67,44,68,71,69,7,10,8,8
73,68,56,65,69,46,70.0,72,54,73,72,64,68,64,74,66,70,72,72,72,58,68,70,52,60,54,72,74,72,8,13,15,7
73,65,77,65,72,64,74.0,59,47,61,74,82,88,71,62,70,71,66,70,71,70,62,25,74,74,71,65,26,35,11,8,13,7
73,65,55,55,73,54,74.0,70,61,74,76,66,67,69,76,67,76,68,86,70,70,83,67,67,69,73,78,68,60,8,10,8,14
73,75,42,41,71,61,72.0,76,74,68,74,70,75,73,69,73,73,77,86,71,69,67,71,71,66,56,65,70,71,11,10,12,11
73,34,42,78,58,24,62.0,27,21,55,64,69,80,56,71,35,61,82,79,82,59,75,69,52,43,32,68,71,70,7,11,9,14
73,63,52,59,65,41,71.0,62,42,55,71,79,81,77,68,67,57,82,80,69,51,80,67,65,64,49,68,72,73,9,8,7,9
73,73,73,69,67,66,73.0,57,68,75,69,79,79,78,80,68,80,68,75,71,70,66,47,73,73,74,80,42,20,11,6,14,6
73,43,76,74,67,67,68.0,54,48,51,70,65,70,62,73,49,71,78,78,89,65,56,22,76,65,56,72,23,20,13,16,11,9
73,69,64,50,75,64,76.0,70,69,76,76,68,54,80,72,78,76,52,53,47,76,45,52,71,76,59,73,57,55,6,14,12,14
73,32,23,76,61,25,56.0,26,19,65,58,43,50,42,64,37,34,32,50,85,27,75,75,28,44,62,70,75,74,15,16,12,15
73,57,47,78,72,35,61.0,49,42,69,65,53,61,58,69,61,59,78,69,73,44,76,74,50,45,47,69,77,72,15,10,14,13
73,69,45,71,72,33,61.0,73,65,76,57,63,74,52,74,55,67,70,73,77,58,70,74,24,55,39,67,75,72,10,5,5,10
73,72,74,54,70,70,75.0,71,66,71,72,93,83,93,68,85,72,89,72,57,70,71,30,77,70,74,74,13,16,7,9,11,6
73,51,65,52,71,48,71.0,50,61,68,72,54,58,77,63,83,67,70,87,72,62,82,69,67,69,52,67,73,69,14,8,8,8
73,70,59,66,70,43,71.0,55,33,65,70,72,70,72,74,70,66,77,69,66,60,68,70,65,68,50,70,71,72,10,9,15,13
73,59,74,68,70,71,74.0,75,53,53,74,77,69,74,69,67,75,70,71,69,73,45,17,74,70,62,66,28,17,7,7,11,14
73,67,71,63,73,60,73.0,68,68,63,73,76,74,75,69,75,68,75,75,67,73,67,34,73,74,69,71,23,25,7,12,9,11
73,38,22,75,63,28,54.0,29,33,65,61,33,33,35,72,38,59,74,75,85,38,82,73,31,43,35,70,75,68,9,8,8,16
73,68,61,65,74,43,68.0,65,67,71,70,58,54,67,68,73,68,73,92,68,66,76,70,51,71,70,64,71,68,15,13,12,15
73,52,38,75,65,22,52.0,59,71,62,61,48,53,60,70,58,72,52,78,80,57,72,78,34,43,35,76,75,71,9,16,12,13
73,74,69,53,65,63,73.0,71,73,62,72,82,83,80,68,76,68,80,83,70,67,66,59,72,68,65,67,59,55,9,11,10,7
73,62,54,55,77,50,76.0,74,60,72,76,73,63,80,73,77,62,46,80,59,59,58,76,59,73,52,74,68,66,9,15,12,7
73,30,75,82,69,72,69.0,69,44,53,71,55,53,71,68,49,79,63,60,85,65,77,39,78,65,74,76,23,25,15,14,8,11
73,72,73,73,71,59,71.0,72,71,61,68,81,82,78,70,68,76,79,74,84,68,80,31,74,71,63,68,17,10,9,7,8,13
73,60,56,72,78,46,69.0,57,47,72,74,71,71,60,72,72,68,70,90,74,71,84,72,62,70,56,70,73,63,14,8,14,10
73,37,76,78,65,69,67.0,61,62,49,71,67,69,68,73,65,79,86,69,76,72,51,28,75,62,72,69,25,19,10,6,9,11
73,67,69,55,75,60,77.0,68,62,71,79,64,53,84,65,79,65,71,73,65,66,62,38,68,74,65,68,36,41,15,7,14,14
73,65,31,70,68,37,67.0,49,59,62,65,78,79,72,69,71,66,89,77,76,54,73,75,34,40,48,69,77,74,7,9,7,12
73,47,73,72,66,66,73.0,52,34,59,74,66,79,70,67,43,81,54,59,86,70,52,22,69,74,58,64,23,20,11,10,13,10
73,64,55,69,73,51,69.0,64,64,72,72,61,62,65,70,69,63,68,76,74,57,72,74,62,64,60,72,72,69,11,9,13,11
73,40,31,73,67,23,55.0,28,26,65,63,58,61,66,73,62,45,86,66,77,24,72,71,31,49,28,69,77,66,10,8,15,12
73,43,40,70,56,36,53.0,36,35,50,52,60,64,67,65,51,62,75,70,81,32,81,76,36,48,48,64,75,76,15,14,7,11
73,48,54,77,71,27,56.0,29,36,73,62,53,60,51,72,33,46,74,68,79,26,76,73,47,61,35,75,76,73,9,12,14,8
73,34,30,74,66,32,56.0,30,28,56,64,62,57,57,73,56,53,85,34,81,22,74,75,25,49,40,72,71,69,13,10,11,15
73,70,66,60,79,65,73.0,79,77,76,77,69,64,71,70,75,80,55,63,61,78,74,71,67,73,52,68,69,68,7,10,11,9
73,79,62,54,76,75,74.0,80,68,73,75,64,51,66,75,66,85,83,71,67,81,61,60,70,72,46,73,70,44,15,13,12,8
73,77,56,69,69,59,70.0,75,69,72,72,69,74,72,68,67,74,82,82,68,66,67,66,65,70,65,68,71,70,12,16,7,16
73,59,57,54,76,58,73.0,69,55,72,77,62,60,68,76,57,75,59,77,65,62,67,71,70,74,61,66,63,58,14,16,10,13
73,72,65,62,74,63,77.0,75,66,64,76,75,67,86,73,86,68,53,60,48,73,68,54,70,73,55,76,50,49,7,16,9,8
73,75,63,37,76,60,77.0,76,72,74,76,75,53,88,70,88,60,60,73,51,60,76,67,70,75,60,76,65,62,8,12,13,14
73,73,43,61,62,66,68.0,72,58,65,72,77,73,82,72,74,74,82,84,64,61,61,72,62,60,39,64,74,69,13,12,11,8
73,67,67,63,71,37,74.0,75,73,67,71,82,89,87,69,74,65,86,75,74,63,69,65,69,71,57,73,55,61,7,15,13,7
73,40,43,77,68,27,58.0,27,31,62,66,34,33,55,70,37,45,82,70,84,39,66,70,42,49,34,64,77,72,13,9,13,13
73,69,35,59,73,31,69.0,65,60,62,71,68,74,69,69,72,55,69,70,68,45,65,73,49,55,35,71,75,70,13,11,11,9
73,71,71,64,65,65,75.0,74,57,60,76,85,86,76,66,76,79,55,74,75,68,71,37,72,71,70,59,46,36,13,15,12,13
73,37,58,76,67,43,53.0,57,50,55,64,31,31,32,65,30,68,77,65,90,58,79,67,62,34,42,66,73,70,8,9,12,10
73,63,69,68,68,74,74.0,63,61,69,73,83,85,80,70,73,74,78,68,72,70,58,40,74,70,67,64,51,48,13,9,12,7
73,70,57,61,79,57,72.0,70,74,78,77,55,54,67,71,69,78,65,59,59,78,45,60,63,76,79,64,63,58,13,14,13,10
73,41,73,66,60,68,68.0,60,30,45,67,81,88,76,70,50,77,86,91,79,62,62,37,80,59,68,64,50,30,11,7,11,11
73,67,40,59,67,60,73.0,70,28,52,71,93,92,90,69,83,73,92,66,67,51,74,67,64,60,38,68,71,70,7,15,7,11
73,40,48,77,60,46,54.0,37,32,63,59,46,51,48,67,48,56,74,64,83,40,75,73,35,46,37,68,76,72,15,9,7,14
73,71,69,64,74,64,74.0,73,74,72,74,71,73,78,71,74,76,80,68,75,72,74,73,69,74,79,76,77,68,8,16,8,14
73,28,31,73,69,25,60.0,25,22,65,68,55,60,54,65,53,42,78,75,82,18,82,71,30,45,36,60,72,71,6,10,6,11
73,61,36,72,71,43,63.0,44,40,68,66,68,69,65,70,62,42,80,65,79,39,65,72,37,37,48,71,74,72,6,15,10,6
